Name,Orbital Period (days),Radius (km),Distance from Jupiter (km),Galilean,Orbital Period (s),Radius (m),Distance from Jupiter (m),R (m),R3,T2
Metis,0.3,21.5,128000,False,25919.999999999996,21500.0,128000000,128021500.0,2.0982089455139382e+24,671846399.9999998
Adrastea,0.3,8.2,129000,False,25919.999999999996,8200.0,129000000,129008200.0,2.1470983946224314e+24,671846399.9999998
Amalthea,0.5,83.5,181400,False,43200.0,83500.0,181400000,181483500.0,5.977387881860633e+24,1866240000.0
Thebe,0.68,49.3,221900,False,58752.0,49300.0,221900000,221949300.0,1.0933553615416017e+25,3451797504.0
Io,1.77,1821.6,421800,True,152928.0,1821600.0,421800000,423621600.0,7.6021124363922526e+25,23386973184.0
Europa,3.55,1560.8,671100,True,306719.99999999994,1560800.0,671100000,672660800.0,3.0436054870992895e+26,94077158399.99997
Ganymede,7.16,2631.2,1070400,True,618624.0,2631200.0,1070400000,1073031200.0,1.2354837845279338e+27,382695653376.0
Callisto,16.69,2410.3,1882700,True,1442016.0000000002,2410300.0,1882700000,1885110300.0,6.699004955953081e+27,2079410144256.0007
Themisto,130.0,4.0,7507000,False,11232000.0,4000.0,7507000000,7507004000.0,4.2305802910394835e+29,126157824000000.0
Leda,240.9,10.0,11165000,False,20813760.0,10000.0,11165000000,11165010000.0,1.3918016568450995e+30,433212605337600.0
S/2018 J2,252.0,3.0,11419700,False,21772800.0,3000.0,11419700000,11419703000.0,1.4892390900096143e+30,474054819840000.0
Himalia,250.6,85.0,11461000,False,21651840.0,85000.0,11461000000,11461085000.0,1.505487660832273e+30,468802175385600.0
Ersa,252.0,3.0,11483000,False,21772800.0,3000.0,11483000000,11483003000.0,1.514141402320911e+30,474054819840000.0
Pandia,252.1,3.0,11525000,False,21781440.0,3000.0,11525000000,11525003000.0,1.5308165235559363e+30,474431128473600.0
S/2011 J3,263.0,3.0,11716800,False,22723200.0,3000.0,11716800000,11716803000.0,1.6085234029165686e+30,516343818240000.0
